category,technique_name,description
cultural,Fusion Cuisine,"Mix cultural approaches and perspectives like fusion cuisine - creates innovation through cultural cross-pollination by asking what happens when mixing culture A with culture B, what cultural hybrids emerge, and what fusion creates"
cultural,Ritual Innovation,"Apply ritual design principles to create transformative experiences and solutions - uses anthropological insights for human-centered design by asking what ritual would transform this, how to make it ceremonial, and what transformation this needs"
cultural,Mythic Frameworks,"Use myths and archetypal stories as frameworks for understanding and solving problems - taps into collective unconscious by asking what myth parallels this, what archetypes are involved, and how mythic structure informs solution"
technical,Architecture Decision Records,"Multiple architect personas propose and debate architectural choices with explicit trade-offs - ensures decisions are well-reasoned and documented by exploring options, evaluating trade-offs, making decision with clear rationale"
technical,Rubber Duck Debugging Evolved,"Explain your code to progressively more technical ducks until you find the bug - forces clarity at multiple abstraction levels starting simple, getting detailed, going technical until the 'aha!' moment reveals the issue"
technical,Algorithm Olympics,"Multiple approaches compete on the same problem with benchmarks - finds optimal solution through direct comparison by implementing different solutions, benchmarking them fairly, and selecting the winner based on performance"
technical,Security Audit Personas,"Hacker + defender + auditor examine system from different threat models - comprehensive security review from multiple angles exploring vulnerabilities, defenses, and compliance requirements simultaneously"
technical,Performance Profiler Panel,"Database expert + frontend specialist + DevOps engineer diagnose slowness - finds bottlenecks across the full stack by analyzing symptoms, exploring root causes, and proposing targeted optimizations"
competitive,Red Team vs Blue Team,"Adversarial attack-defend analysis to find vulnerabilities - critical for security testing where defense team builds, attack team breaks, and system hardens through iterative improvement"
competitive,Shark Tank Pitch,"Entrepreneur pitches to skeptical investors who poke holes - stress-tests business viability and forces clarity on value proposition through tough questioning, challenges, and refinement under pressure"
competitive,Code Review Gauntlet,"Senior devs with different philosophies review the same code - surfaces style debates and finds consensus on best practices through multiple perspectives, debates on approaches, and agreed standards"
research,Literature Review Personas,"Optimist researcher + skeptic researcher + synthesizer review sources - balanced assessment of evidence quality through multiple critiques, source validation, and synthesis of findings"
research,Thesis Defense Simulation,"Student defends hypothesis against committee with different concerns - stress-tests research methodology and conclusions through challenges, defense arguments, and iterative refinement of thesis"
research,Comparative Analysis Matrix,"Multiple analysts evaluate options against weighted criteria - structured decision-making with explicit scoring using defined options, clear criteria, calculated scores, and data-driven recommendations"
risk,Pre-mortem Analysis,"Imagine the project has failed spectacularly then work backwards to identify what caused it - powerful technique for risk mitigation by exploring failure scenarios, identifying causes, and implementing prevention strategies"
learning,Feynman Technique,"Explain complex concepts as if teaching a child to verify true understanding - reveals gaps in knowledge by simplifying, identifying where explanation breaks down, filling gaps, and achieving mastery through teaching"
learning,Active Recall Testing,"Test understanding without references to verify true knowledge - identifies gaps through honest self-testing by retrieving knowledge, identifying weaknesses, reinforcing through practice, and validating retention"
collaboration,Expert Panel Review,"Assemble domain experts for deep specialized analysis - ideal when technical depth and peer review quality are needed through expert perspectives, consensus building, and actionable recommendations"
collaboration,Debate Club Showdown,"Two personas argue opposing positions while a moderator scores points - great for exploring controversial decisions by presenting thesis, antithesis, and synthesizing a balanced conclusion"
collaboration,Mentor and Apprentice,"Senior expert teaches junior while junior asks naive questions - surfaces hidden assumptions through the teaching process where explanations reveal gaps and questions deepen understanding"
collaboration,Good Cop Bad Cop,"Supportive persona and critical persona alternate perspectives - finds both strengths to build on and weaknesses to address through balanced encouragement and criticism for comprehensive view"
advanced,Graph of Thoughts,"Model reasoning as an interconnected network of ideas to reveal hidden relationships - ideal for systems thinking by mapping nodes, exploring connections, and discovering emergent patterns"
advanced,Thread of Thought,"Maintain coherent reasoning across long contexts by weaving a continuous narrative thread - essential for RAG systems by maintaining context, threading insights, and synthesizing across large information spaces"
advanced,Meta-Prompting Analysis,"Step back to analyze the approach structure and methodology itself - valuable for optimizing prompts by examining current approach, analyzing effectiveness, and optimizing for better results"
advanced,Reasoning via Planning,"Build a reasoning tree guided by world models and goal states - excellent for strategic planning by modeling situation, planning paths, and developing coherent strategy toward goals"
retrospective,Hindsight Reflection,"Imagine looking back from the future to gain perspective - powerful for project reviews by adopting future viewpoint, gaining insights from temporal distance, and applying lessons to present"
retrospective,Lessons Learned Extraction,"Systematically identify key takeaways and actionable improvements - essential for continuous improvement by reviewing experience, extracting lessons, and defining concrete actions for improvement"
philosophical,Occam Razor Application,"Find the simplest sufficient explanation by eliminating unnecessary complexity - essential for debugging and design by comparing options, simplifying progressively, and selecting the most elegant solution"
philosophical,Trolley Problem Variations,"Explore ethical trade-offs through moral dilemmas - valuable for understanding values and difficult decisions by analyzing dilemmas, considering consequences, and making principled decisions"
